id,ano,produto,volume,linha,categoria_produto,subcategoria_produto,nivel_produto,eh_agregado
1,2009,VINHO DE MESA,234525979,,Vinho,Vinho de Mesa,1,True
2,2009,  Tinto,193004182,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
3,2009,  Rosado,2307580,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
4,2009,  Branco,39214217,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
5,2009,VINHO  FINO DE MESA,33080270,,Vinho,Vinifera,1,True
6,2009,  Tinto,19576295,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
7,2009,  Rosado,213835,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
8,2009,  Branco,13290140,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
9,2009,VINHO FRIZANTE,1003596,,Vinho,Produto Final,3,False
10,2009,VINHO ORGÂNICO,0,,Vinho,Organico,3,False
11,2009,VINHO ESPECIAL,113,,Vinho,Especial,1,True
12,2009,  Tinto,113,Vinho Especial,Vinho,Vinho de Mesa,3,False
13,2009,  Rosado,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
14,2009,  Branco,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
15,2009,ESPUMANTES ,11242890,,Espumante,Produto Final,3,False
16,2009,  Espumante  Moscatel,2500230,Espumantes,Espumante,Produto Final,3,False
17,2009,  Espumante,8742660,Espumantes,Espumante,Produto Final,3,False
18,2009,  Espumante Orgânico,0,Espumantes,Espumante,Produto Final,3,False
19,2009,SUCO DE UVAS,29131455,,Suco,Suco de Uva,1,True
20,2009,  Suco Natural Integral,0,Sucos,Suco,Suco de Uva,3,False
21,2009,  Suco Adoçado,0,Sucos,Suco,Suco de Uva,3,False
22,2009,  Suco Reprocessado/reconstituido,0,Sucos,Suco,Suco de Uva,3,False
23,2009,  Suco Orgânico,0,Sucos,Suco,Suco de Uva,3,False
24,2009,  Outros sucos de uvas,0,Sucos,Suco,Suco de Uva,3,False
25,2009,SUCO DE UVAS CONCENTRADO,31861857,,Suco,Suco de Uva,3,False
26,2009,OUTROS PRODUTOS COMERCIALIZADOS,26554757,,Outros,Outros Produtos,1,True
27,2009,  Outros vinhos (sem informação detalhada),0,Outros,Vinho,Produto Final,3,False
28,2009,"  Agrin (fermentado, acetico misto)",6745427,Outros,Derivados,Derivados Industriais,2,False
29,2009,  Aguardente de vinho 50°gl,0,Outros,Vinho,Produto Final,3,False
30,2009,  Alcool vinico,0,Outros,Destilado,Produto Final,3,False
31,2009,  Bagaceira (graspa),21133,Outros,Destilado,Produto Final,3,False
32,2009,  Base champenoise champanha,0,Outros,Espumante,Base,2,False
33,2009,  Base charmat champanha,0,Outros,Espumante,Base,2,False
34,2009,  Base espumante moscatel,0,Outros,Espumante,Base,2,False
35,2009,  Bebida de uva,1279586,Outros,Suco,Suco de Uva,3,False
36,2009,  Borra líquida,12000,Outros,Derivados,Derivados Industriais,2,False
37,2009,  Borra seca,0,Outros,Derivados,Derivados Industriais,2,False
38,2009,  Brandy (conhaque),7151,Outros,Destilado,Produto Final,3,False
39,2009,  Cooler,4561959,Outros,Outros,Bebidas Mistas,3,False
40,2009,  Coquetel com vinho,1354734,Outros,Outros,Bebidas Mistas,3,False
41,2009,  Destilado de vinho,100,Outros,Vinho,Produto Final,3,False
42,2009,  Filtrado doce,6533888,Outros,Derivados,Derivados Industriais,2,False
43,2009,  Jeropiga,14443,Outros,Mosto,Intermediario,2,False
44,2009,  Mistelas,7034,Outros,Mosto,Intermediario,2,False
45,2009,  Mosto concentrado,0,Outros,Mosto,Intermediario,2,False
46,2009,  Mosto de uva,0,Outros,Mosto,Intermediario,2,False
47,2009,  Mosto sulfitado,0,Outros,Mosto,Intermediario,2,False
48,2009,  Nectar de uva,4933019,Outros,Suco,Suco de Uva,3,False
49,2009,  Outros produtos,418132,Outros,Outros,Outros Produtos,1,True
50,2009,  Polpa de uva,1339958,Outros,Suco,Suco de Uva,3,False
51,2009,  Preparado líquido para refresco,467005,Outros,Suco,Suco de Uva,3,False
52,2009,  Refrigerante +50% suco,0,Outros,Suco,Suco de Uva,3,False
53,2009,  Sangria,192082,Outros,Outros,Bebidas Mistas,3,False
54,2009,  Vinagre balsamico,36937,Outros,Derivados,Vinagre,3,False
55,2009,  Vinagre duplo,426804,Outros,Derivados,Vinagre,3,False
56,2009,  Vinagre simples,2996318,Outros,Derivados,Vinagre,3,False
57,2009,  Vinho acetificado,808389,Outros,Derivados,Vinagre,3,False
58,2009,  Vinho base para espumantes,10649,Outros,Vinho,Produto Final,3,False
59,2009,  Vinho composto,542123,Outros,Vinho,Produto Final,3,False
60,2009,  Vinho licoroso,591313,Outros,Vinho,Produto Final,3,False
61,2009,  Vinho leve,0,Outros,Vinho,Produto Final,3,False
62,2009,  Vinho gaseificado,0,Outros,Vinho,Produto Final,3,False
1,2010,VINHO DE MESA,221242945,,Vinho,Vinho de Mesa,1,True
2,2010,  Tinto,188649074,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
3,2010,  Rosado,2036928,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
4,2010,  Branco,30556943,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
5,2010,VINHO  FINO DE MESA,21390159,,Vinho,Vinifera,1,True
6,2010,  Tinto,15184398,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
7,2010,  Rosado,236802,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
8,2010,  Branco,5968959,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
9,2010,VINHO FRIZANTE,1851136,,Vinho,Produto Final,3,False
10,2010,VINHO ORGÂNICO,0,,Vinho,Organico,3,False
11,2010,VINHO ESPECIAL,293,,Vinho,Especial,1,True
12,2010,  Tinto,293,Vinho Especial,Vinho,Vinho de Mesa,3,False
13,2010,  Rosado,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
14,2010,  Branco,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
15,2010,ESPUMANTES ,12647906,,Espumante,Produto Final,3,False
16,2010,  Espumante  Moscatel,2946179,Espumantes,Espumante,Produto Final,3,False
17,2010,  Espumante,9701727,Espumantes,Espumante,Produto Final,3,False
18,2010,  Espumante Orgânico,0,Espumantes,Espumante,Produto Final,3,False
19,2010,SUCO DE UVAS,35164681,,Suco,Suco de Uva,1,True
20,2010,  Suco Natural Integral,0,Sucos,Suco,Suco de Uva,3,False
21,2010,  Suco Adoçado,0,Sucos,Suco,Suco de Uva,3,False
22,2010,  Suco Reprocessado/reconstituido,0,Sucos,Suco,Suco de Uva,3,False
23,2010,  Suco Orgânico,0,Sucos,Suco,Suco de Uva,3,False
24,2010,  Outros sucos de uvas,0,Sucos,Suco,Suco de Uva,3,False
25,2010,SUCO DE UVAS CONCENTRADO,30827991,,Suco,Suco de Uva,3,False
26,2010,OUTROS PRODUTOS COMERCIALIZADOS,29023870,,Outros,Outros Produtos,1,True
27,2010,  Outros vinhos (sem informação detalhada),0,Outros,Vinho,Produto Final,3,False
28,2010,"  Agrin (fermentado, acetico misto)",6852708,Outros,Derivados,Derivados Industriais,2,False
29,2010,  Aguardente de vinho 50°gl,0,Outros,Vinho,Produto Final,3,False
30,2010,  Alcool vinico,0,Outros,Destilado,Produto Final,3,False
31,2010,  Bagaceira (graspa),16413,Outros,Destilado,Produto Final,3,False
32,2010,  Base champenoise champanha,11,Outros,Espumante,Base,2,False
33,2010,  Base charmat champanha,42847,Outros,Espumante,Base,2,False
34,2010,  Base espumante moscatel,18418,Outros,Espumante,Base,2,False
35,2010,  Bebida de uva,763368,Outros,Suco,Suco de Uva,3,False
36,2010,  Borra líquida,13000,Outros,Derivados,Derivados Industriais,2,False
37,2010,  Borra seca,46000,Outros,Derivados,Derivados Industriais,2,False
38,2010,  Brandy (conhaque),6448,Outros,Destilado,Produto Final,3,False
39,2010,  Cooler,4674272,Outros,Outros,Bebidas Mistas,3,False
40,2010,  Coquetel com vinho,977962,Outros,Outros,Bebidas Mistas,3,False
41,2010,  Destilado de vinho,31814,Outros,Vinho,Produto Final,3,False
42,2010,  Filtrado doce,6611313,Outros,Derivados,Derivados Industriais,2,False
43,2010,  Jeropiga,37310,Outros,Mosto,Intermediario,2,False
44,2010,  Mistelas,26577,Outros,Mosto,Intermediario,2,False
45,2010,  Mosto concentrado,0,Outros,Mosto,Intermediario,2,False
46,2010,  Mosto de uva,12438,Outros,Mosto,Intermediario,2,False
47,2010,  Mosto sulfitado,0,Outros,Mosto,Intermediario,2,False
48,2010,  Nectar de uva,5397459,Outros,Suco,Suco de Uva,3,False
49,2010,  Outros produtos,284824,Outros,Outros,Outros Produtos,1,True
50,2010,  Polpa de uva,2774322,Outros,Suco,Suco de Uva,3,False
51,2010,  Preparado líquido para refresco,377010,Outros,Suco,Suco de Uva,3,False
52,2010,  Refrigerante +50% suco,0,Outros,Suco,Suco de Uva,3,False
53,2010,  Sangria,172214,Outros,Outros,Bebidas Mistas,3,False
54,2010,  Vinagre balsamico,67502,Outros,Derivados,Vinagre,3,False
55,2010,  Vinagre duplo,912242,Outros,Derivados,Vinagre,3,False
56,2010,  Vinagre simples,3336175,Outros,Derivados,Vinagre,3,False
57,2010,  Vinho acetificado,1123858,Outros,Derivados,Vinagre,3,False
58,2010,  Vinho base para espumantes,0,Outros,Vinho,Produto Final,3,False
59,2010,  Vinho composto,661586,Outros,Vinho,Produto Final,3,False
60,2010,  Vinho licoroso,638487,Outros,Vinho,Produto Final,3,False
61,2010,  Vinho leve,0,Outros,Vinho,Produto Final,3,False
62,2010,  Vinho gaseificado,0,Outros,Vinho,Produto Final,3,False
1,2011,VINHO DE MESA,230310468,,Vinho,Vinho de Mesa,1,True
2,2011,  Tinto,196562722,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
3,2011,  Rosado,1668823,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
4,2011,  Branco,32078923,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
5,2011,VINHO  FINO DE MESA,19967310,,Vinho,Vinifera,1,True
6,2011,  Tinto,14876896,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
7,2011,  Rosado,211484,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
8,2011,  Branco,4878930,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
9,2011,VINHO FRIZANTE,1706679,,Vinho,Produto Final,3,False
10,2011,VINHO ORGÂNICO,0,,Vinho,Organico,3,False
11,2011,VINHO ESPECIAL,699,,Vinho,Especial,1,True
12,2011,  Tinto,699,Vinho Especial,Vinho,Vinho de Mesa,3,False
13,2011,  Rosado,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
14,2011,  Branco,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
15,2011,ESPUMANTES ,13305275,,Espumante,Produto Final,3,False
16,2011,  Espumante  Moscatel,2996441,Espumantes,Espumante,Produto Final,3,False
17,2011,  Espumante,10308834,Espumantes,Espumante,Produto Final,3,False
18,2011,  Espumante Orgânico,0,Espumantes,Espumante,Produto Final,3,False
19,2011,SUCO DE UVAS,45222136,,Suco,Suco de Uva,1,True
20,2011,  Suco Natural Integral,0,Sucos,Suco,Suco de Uva,3,False
21,2011,  Suco Adoçado,0,Sucos,Suco,Suco de Uva,3,False
22,2011,  Suco Reprocessado/reconstituido,0,Sucos,Suco,Suco de Uva,3,False
23,2011,  Suco Orgânico,0,Sucos,Suco,Suco de Uva,3,False
24,2011,  Outros sucos de uvas,0,Sucos,Suco,Suco de Uva,3,False
25,2011,SUCO DE UVAS CONCENTRADO,34892316,,Suco,Suco de Uva,3,False
26,2011,OUTROS PRODUTOS COMERCIALIZADOS,28783827,,Outros,Outros Produtos,1,True
27,2011,  Outros vinhos (sem informação detalhada),0,Outros,Vinho,Produto Final,3,False
28,2011,"  Agrin (fermentado, acetico misto)",5997697,Outros,Derivados,Derivados Industriais,2,False
