Id,País,ano,volume,valor
1,Africa do Sul,2009,10381,42463
1,Africa do Sul,2010,8121,37035
1,Africa do Sul,2011,20213,123099
1,Africa do Sul,2012,24954,133975
1,Africa do Sul,2013,26985,158325
1,Africa do Sul,2014,18659,114275
1,Africa do Sul,2015,19686,96316
1,Africa do Sul,2016,7394,50715
1,Africa do Sul,2017,4913,23919
1,Africa do Sul,2018,15368,74800
1,Africa do Sul,2019,17583,72077
1,Africa do Sul,2020,3574,14542
1,Africa do Sul,2021,6980,36677
1,Africa do Sul,2022,9882,64582
1,Africa do Sul,2023,7650,69382
2,Alemanha,2009,1170,8434
2,Alemanha,2010,1116,5753
2,Alemanha,2011,810,8800
2,Alemanha,2012,1260,9975
2,Alemanha,2013,1247,11745
2,Alemanha,2014,5093,34413
2,Alemanha,2015,3647,5589
2,Alemanha,2016,3420,8275
2,Alemanha,2017,4819,37116
2,Alemanha,2018,18376,82273
2,Alemanha,2019,26853,169989
2,Alemanha,2020,21174,65359
2,Alemanha,2021,19977,46237
2,Alemanha,2022,12447,26877
2,Alemanha,2023,322,5111
3,Argentina,2009,894550,2730102
3,Argentina,2010,1086901,3583463
3,Argentina,2011,997492,3818944
3,Argentina,2012,963574,3985004
3,Argentina,2013,702963,2545215
3,Argentina,2014,807366,3221463
3,Argentina,2015,490536,1814349
3,Argentina,2016,358510,1240249
3,Argentina,2017,661857,2249681
3,Argentina,2018,706478,2462909
3,Argentina,2019,757716,2282614
3,Argentina,2020,469547,1304986
3,Argentina,2021,723847,2211657
3,Argentina,2022,1333420,4123623
3,Argentina,2023,839006,2765843
4,Austrália,2009,225,2108
4,Austrália,2010,0,0
4,Austrália,2011,45,174
4,Austrália,2012,0,0
4,Austrália,2013,30,419
4,Austrália,2014,0,0
4,Austrália,2015,4967,15439
4,Austrália,2016,19182,32115
4,Austrália,2017,19198,51731
4,Austrália,2018,57917,212199
4,Austrália,2019,16701,27592
4,Austrália,2020,7426,15190
4,Austrália,2021,8062,26208
4,Austrália,2022,0,0
4,Austrália,2023,3150,10474
5,Áustria,2009,0,0
5,Áustria,2010,0,0
5,Áustria,2011,0,0
5,Áustria,2012,180,1139
5,Áustria,2013,720,6050
5,Áustria,2014,698,6352
5,Áustria,2015,0,0
5,Áustria,2016,0,0
5,Áustria,2017,0,0
5,Áustria,2018,1228,11638
5,Áustria,2019,1269,11571
5,Áustria,2020,909,9399
5,Áustria,2021,90,1434
5,Áustria,2022,0,0
5,Áustria,2023,882,8833
6,Bermudas,2009,0,0
6,Bermudas,2010,0,0
6,Bermudas,2011,0,0
6,Bermudas,2012,0,0
6,Bermudas,2013,0,0
6,Bermudas,2014,0,0
6,Bermudas,2015,0,0
6,Bermudas,2016,0,0
6,Bermudas,2017,0,0
6,Bermudas,2018,0,0
6,Bermudas,2019,0,0
6,Bermudas,2020,0,0
6,Bermudas,2021,70,611
6,Bermudas,2022,5,67
6,Bermudas,2023,3,54
7,Bahamas,2009,0,0
7,Bahamas,2010,0,0
7,Bahamas,2011,0,0
7,Bahamas,2012,0,0
7,Bahamas,2013,0,0
7,Bahamas,2014,0,0
7,Bahamas,2015,73,684
7,Bahamas,2016,60,688
7,Bahamas,2017,519,11136
7,Bahamas,2018,169,2283
7,Bahamas,2019,0,0
7,Bahamas,2020,0,0
7,Bahamas,2021,0,0
7,Bahamas,2022,0,0
7,Bahamas,2023,0,0
8,Bélgica,2009,0,0
8,Bélgica,2010,0,0
8,Bélgica,2011,0,0
8,Bélgica,2012,0,0
8,Bélgica,2013,0,0
8,Bélgica,2014,0,0
8,Bélgica,2015,0,0
8,Bélgica,2016,0,0
8,Bélgica,2017,923,50574
8,Bélgica,2018,0,0
8,Bélgica,2019,0,0
8,Bélgica,2020,0,0
8,Bélgica,2021,0,0
8,Bélgica,2022,0,0
8,Bélgica,2023,0,0
9,Brasil,2009,0,0
9,Brasil,2010,468,62570
9,Brasil,2011,6210,52984
9,Brasil,2012,60601,313190
9,Brasil,2013,10195,44337
9,Brasil,2014,8606,37228
9,Brasil,2015,6383,47936
9,Brasil,2016,1014,4936
9,Brasil,2017,6166,180512
9,Brasil,2018,566215,162992
9,Brasil,2019,15464,238268
9,Brasil,2020,3491,106310
9,Brasil,2021,548,3488
9,Brasil,2022,0,0
9,Brasil,2023,7,184
10,Bulgária,2009,0,0
10,Bulgária,2010,0,0
10,Bulgária,2011,0,0
10,Bulgária,2012,0,0
10,Bulgária,2013,0,0
10,Bulgária,2014,222,546
10,Bulgária,2015,4,7
10,Bulgária,2016,0,0
10,Bulgária,2017,3,716
10,Bulgária,2018,0,0
10,Bulgária,2019,0,0
10,Bulgária,2020,0,0
10,Bulgária,2021,0,0
10,Bulgária,2022,976,1535
10,Bulgária,2023,0,0
11,Canada,2009,0,0
11,Canada,2010,0,0
11,Canada,2011,0,0
11,Canada,2012,0,0
11,Canada,2013,0,0
