Id,País,ano,volume,valor
1,Argélia,2009,0,0
1,Argélia,2010,0,0
1,Argélia,2011,0,0
1,Argélia,2012,0,0
1,Argélia,2013,0,0
1,Argélia,2014,0,0
1,Argélia,2015,0,0
1,Argélia,2016,0,0
1,Argélia,2017,0,0
1,Argélia,2018,0,0
1,Argélia,2019,0,0
1,Argélia,2020,21746,34476
1,Argélia,2021,0,0
1,Argélia,2022,0,0
1,Argélia,2023,0,0
2,Argentina,2009,7453027,8062155
2,Argentina,2010,11559264,15926306
2,Argentina,2011,13438557,19759895
2,Argentina,2012,8714800,13595978
2,Argentina,2013,5810559,10558621
2,Argentina,2014,2758211,4852008
2,Argentina,2015,3569873,5636226
2,Argentina,2016,3931377,5771032
2,Argentina,2017,2097970,3302565
2,Argentina,2018,1616855,2499358
2,Argentina,2019,3211513,4659791
2,Argentina,2020,1798220,2559671
2,Argentina,2021,1356735,1696659
2,Argentina,2022,771187,1053519
2,Argentina,2023,400781,525034
3,Brasil,2009,0,0
3,Brasil,2010,0,0
3,Brasil,2011,0,0
3,Brasil,2012,14612,37412
3,Brasil,2013,0,0
3,Brasil,2014,0,0
3,Brasil,2015,0,0
3,Brasil,2016,0,0
3,Brasil,2017,0,0
3,Brasil,2018,0,0
3,Brasil,2019,0,0
3,Brasil,2020,0,0
3,Brasil,2021,0,0
3,Brasil,2022,0,0
3,Brasil,2023,0,0
4,Chile,2009,10846054,12828213
4,Chile,2010,11806542,17019296
4,Chile,2011,18620819,27472449
4,Chile,2012,22385291,36393910
4,Chile,2013,24392313,43466944
4,Chile,2014,25952434,47301298
4,Chile,2015,24254096,36956724
4,Chile,2016,18424582,30767570
4,Chile,2017,18510455,29248621
4,Chile,2018,16103415,25237521
4,Chile,2019,9082957,13450429
4,Chile,2020,4943446,6986630
4,Chile,2021,3888723,5404163
4,Chile,2022,6536258,9640996
4,Chile,2023,6144949,9738753
5,Colômbia,2009,0,0
5,Colômbia,2010,0,0
5,Colômbia,2011,0,0
5,Colômbia,2012,0,0
5,Colômbia,2013,0,0
5,Colômbia,2014,0,0
5,Colômbia,2015,0,0
5,Colômbia,2016,0,0
5,Colômbia,2017,0,0
5,Colômbia,2018,0,0
5,Colômbia,2019,0,0
5,Colômbia,2020,0,0
5,Colômbia,2021,0,0
5,Colômbia,2022,0,0
5,Colômbia,2023,0,0
6,Egito,2009,0,0
6,Egito,2010,0,0
6,Egito,2011,0,0
6,Egito,2012,0,0
6,Egito,2013,0,0
6,Egito,2014,0,0
6,Egito,2015,0,0
6,Egito,2016,0,0
6,Egito,2017,0,0
6,Egito,2018,0,0
6,Egito,2019,0,0
6,Egito,2020,0,0
6,Egito,2021,0,0
6,Egito,2022,27760,53709
6,Egito,2023,0,0
7,Espanha,2009,124345,253794
7,Espanha,2010,212463,325707
7,Espanha,2011,993310,1894982
7,Espanha,2012,393387,679189
7,Espanha,2013,246827,505467
7,Espanha,2014,401281,716423
7,Espanha,2015,145066,257656
7,Espanha,2016,431567,628571
7,Espanha,2017,243947,403978
7,Espanha,2018,83212,164529
7,Espanha,2019,51079,109171
7,Espanha,2020,0,0
7,Espanha,2021,0,0
7,Espanha,2022,0,0
7,Espanha,2023,0,0
8,Estados Unidos,2009,120861,283233
8,Estados Unidos,2010,89492,241211
8,Estados Unidos,2011,3265,16288
8,Estados Unidos,2012,32458,85451
8,Estados Unidos,2013,80518,205104
8,Estados Unidos,2014,50811,166753
8,Estados Unidos,2015,16504,65265
